TABLE_NAME,DESCRIPTION
ED_ENCOUNTERS_DM,"ED_ENCOUNTERS_DM is a data mart table that holds essential information regarding a patient's stay in the emergency department (ED). It combines date and time columns for calculating turnaround times, and data is populated only when the ED Encounters registry (R HFR 49003) is activated, capturing only those patient encounters that meet the registry's inclusion criteria. Important Note: This table includes a special staging override code that is applicable only for incremental extracts; a full extract should not be performed as it will erase historical data from the table, potentially permanently."
ED_ENCOUNTERS_FACT,"The ED_ENCOUNTERS_FACT table contains frequently utilized data for emergency department encounters, with each encounter represented by a single row. Encounters that are either pending or cancelled are excluded from this table."
ED_EVENT_INFO,This table holds data regarding the current event records.
ED_EVENT_TEMPLATES,"This table holds the noadd single items, including NAME, ID, and RECORD_STATE, associated with a specific EVENT_TEMPLATE."
ED_PATIENT_INFO,"This table holds data that aids in associating records (such as PATIENT, DEPARTMENT, etc.) with their corresponding events."
EMPLOYEES,This table holds summary information regarding user records from the User master file.
ENCOUNTER_DIAGNOSES,The PATIENT_ENCOUNTER_DIAGNOSIS table includes a record for every diagnosis linked to each encounter level of service. It encompasses all diagnoses listed on the ORDER_SUMMARY screen.
ENCOUNTER_VISIT_REASONS,"The ENCOUNTER_VISIT_REASONS table holds the reasons for visit recorded during a clinical system encounter. Each row represents a single reason for visit linked to a patient encounter, with the LINE item distinguishing multiple reasons for a single encounter."
FLOWSHEET_MEASUREMENTS,This table holds measurements specific to patients that are recorded in flowsheets.
FLOWSHEET_RECORDS,This table holds linking details related to flowsheet records.
FY_DATE_DIMENSION,"Table containing fiscal year date information, including fiscal year number, month, and corresponding calendar date mappings for aligning reporting periods."
GROUPER_COMPILED_LIST,Holds the aggregated records for a grouper.
GROUPER_GROUPS,This table holds the records of groupers that are part of a specific grouper record.
GROUPER_MED_RECORDS,"This table holds a compiled list of medication records within a grouper, which may include entries directly in the grouper or those expanded from basic generic medications, pharmaceutical class, pharmaceutical subclass, AHFS code, RxNorm code, or ATC code, possibly restricted by route. This view is intended solely to maintain compatibility with old queries following changes to the grouper's data model, and new queries should utilize GROUPER_COMPILED_LIST instead."
GROUPER_TERMINOLOGY,Holds the terminology codes for groupers of the Terminology type.
HOSPITAL_ACCOUNTS,This table holds hospital account details sourced from the HOSPITAL_ACCOUNT and CLAIM (CLM) master files. It does not include professional billing hospital accounts generated by visit filing order in non-single billing office service areas.
HOSPITAL_ACCOUNTS_EXT,"This table holds hospital account data from the Hospital Accounts Receivable master file. It is the fifth hospital account table, maintaining the same basic structure as HOSPITAL_ACCOUNTS, HOSPITAL_ACCOUNT_2, HOSPITAL_ACCOUNT_3, and HOSPITAL_ACCOUNT_4, and was established to avoid increasing the size of the other tables. It does not include Professional Billing accounts in traditional PB self-pay service areas."
HOSPITAL_ACCT_DIAGNOSES,"This table holds information regarding the final diagnosis list for hospital accounts, sourced from the Hospital Accounts Receivable master file."
HOSPITAL_ENCOUNTERS,"This table contains the main information regarding hospital encounters. A hospital encounter refers to a contact in the patient record generated through an ADT workflow, including preadmission, admission, ED Arrival, discharge, and hospital outpatient visit (HOV) contacts, all of which have the ADT flag set to 1; other contact types are not included in this table."
HOSPITAL_TRANSACTIONS,This table holds transaction details related to hospital accounts sourced from the Hospital Permanent Transactions (HTR) master file.
IP_SEPSIS,"Staging table that holds inpatient sepsis screening results, encounter information, compliance metrics, and clinical observations for patients flagged for sepsis."
IP_SepsisDetails,"Comprehensive clinical information for sepsis cases, encompassing vital signs, laboratory results, medication administration timestamps, and organ dysfunction assessments."
IP_SepsisEncounters,"Records of inpatient sepsis encounters that include demographic information, admission and discharge timestamps, and diagnosis codes."
IP_SepsisEncountersWLocations,"Records of sepsis encounters that include ADT location history, detailing department transfers and their corresponding timestamps throughout the encounter."
IP_SepsisPatientDates,A date-indexed view of sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
IP_SepsisScreeningAudit,"Records of sepsis screening activities, which encompass organ dysfunction scores, huddle documentation, alert responses, and nursing assessments."
IP_SepsisShiftCompliance,"Data on sepsis screening compliance at the shift level, including breakdowns by AM/PM shifts, compliance rates, and the nursing staff responsible for the screenings."
LAB_COMPONENTS,"The LAB_COMPONENTS table holds fundamental details about the standard result components that may be part of your procedures. For instance, the components of a lab panel typically include the tests conducted on a single specimen."
LAB_ORDER_RESULTS,This table holds data regarding the outcomes of clinical system orders. It retrieves only the most recent Orders contact for each order record.
LINE_DEVICE_AIRWAY,"This table contains information about devices associated with a patient. A record is generated in DEVICE for each line, drain, airway, or wound related to a patient, along with entries for the patient's travel history. The no-add information for this device is also stored in the table."
LOCATIONS,"This table holds data regarding location records, which encompass revenue locations and the primary clinics/locations of patients. The entries in this table are Facility Profile (EAF) records classified as facility, service area, and location records, specifically where Type of Location (I EAF 27) has a value of 1, 2, or 4."
MEDICATIONS,The MEDICATIONS table holds comprehensive details about all medications available for use in your facility.
MEDICATION_ORDERS,The MEDICATION_ORDERS table allows for reporting on medications prescribed within the clinical system. It also contains patient and contact identification details for each entry.
MEDICATION_ORDERS_EXT,This table allows for reporting on medications prescribed in the clinical system or Ambulatory Pharmacy (Prescriptions). It is intended to be used in conjunction with MEDICATION_ORDERS.
MED_ADMIN_RECORDS,"This table holds the active medication administration data, encompassing all scheduled and completed administrations that are currently displayed on the MAR."
MED_DETAILS_EXT,This table holds information about medications.
MED_MIX_COMPONENTS,This table includes the components that make up medication mixtures.
NON_SEVERE_SEPSIS_STAGING,ETL staging table for identifying non-severe sepsis cases. Contains records of patients suspected of having sepsis but not qualifying for severe sepsis criteria.
NOTE_ENCOUNTER_INFO,"This table holds data from overtime single-response items related to General Use Notes records. The logic for creating contacts for clinical notes is: 1. A new note is created if none exists, indicating the first contact for that note. 2. A new contact is generated on the note being revised if a revision is submitted by the incoming transcription interface, irrespective of the note's status."
NOTE_TEMPLATE_LIST_IDS,This table contains the SmartList IDs associated with the notes.
NOTE_TEMPLATE_TEXT_IDS,This table contains the SmartText IDs associated with the notes.
ORDER_DISPENSE_INFO,This table holds information regarding the dispensing of orders.
ORDER_TRACKING_METRICS,"This table is intended to gather information needed to analyze the placement of orders within the system. It provides insights into the percentage of orders placed by the same provider and user, as well as details on the types of orders, including whether they were modified or reordered. Included orders are parent orders that are not pended, not created from an interface, not generated by an Instant Order OurPractice Advisory action, not cabinet overrides, not historical orders, not bulk dispense orders, not created by referral, not external, and either have a procedure associated or lack an appointment request system status."
ORGANISMS,The ORGANISMS table holds fundamental details regarding the organisms utilized in clinical systems.
PATIENTS,"The PATIENTS table holds a single record for every patient in the system. Each record includes demographic details, primary care provider and primary location information, registration data, and additional information."
PATIENT_DEMOGRAPHICS_RACE,This table holds data regarding a patient's race.
PATIENT_ENCOUNTERS,"The PATIENT_ENCOUNTER table holds a single record for each patient encounter in the system. By default, it excludes Registration and PCP/Clinic Change contacts (encounter types 1 and 31) but includes all appointments, office visits, telephone encounters, and other encounter types. The primary key for the PATIENT_ENCOUNTER table is ENCOUNTER_ID. Additionally, there is an index named EIX_FILT_PATIENT_ENC_RFL on the REFERRAL_ID column in Oracle, which is not listed among the indexes; this index is created by EFN_FAUX_RFL_FILT_INX."
PROCEDURES_CATALOG,"The PROCEDURES_CATALOG table holds fundamental details regarding the procedure records within the system, encompassing both A/R and clinical procedures."
PROCEDURE_ORDERS,"The PROCEDURE_ORDERS table allows for reporting on the procedures requested within the clinical system, and it includes patient and contact identification details for each entry."
PROCEDURE_ORDERS_EXT,The PROCEDURE_ORDERS_EXT table allows for reporting on procedures ordered within the clinical system. It shares a similar structure with PROCEDURE_ORDERS and was established as a third table to avoid increasing the size of ORDER_PROC_2.
PROVIDERS,"The PROVIDERS table holds essential details regarding your provider records, which can include caregivers, resources, classes, devices, and modalities."
REF_ALERT_ACTIONS,This table holds the values representing the actions that a user can perform in response to alerts.
REF_ALERT_OVERRIDE_REASONS,No value is present.
REF_ALERT_STATUS,"This table contains the categories for alert status. The alert status describes the outcome of an interaction alert after it has been viewed by an end user, with possible statuses including OVERRIDDEN, REMOVED, FILTERED, or CANCELLED."
REF_DISCHARGE_DISPOSITION,No value is present.
REF_ED_DISPOSITION,No value is present.
REF_ETHNIC_GROUP,This table holds the category details for patient ethnic groups.
REF_GENERIC_MED,No value is present.
REF_PATIENT_CLASS,This table holds the category details for the patient classes associated with the hospital encounter.
REF_PATIENT_RACE,This table holds the category details related to patient race.
REF_SEX,No value is present.
REF_SHOWN_PLACE,This table contains the categories for the various locations where alerts may be displayed in the clinical application.
RX_VERIFY_TRACE,This table records medication orders that are in the pharmacy verification queue.
SEVERE_SEPSIS_STAGING,ETL staging table for identifying severe sepsis cases. Contains records of patients who meet the criteria for severe sepsis along with tracking for compliance with bundle elements.
TREATMENT_TEAMS,"The TREATMENT_TEAMS table holds details about inpatient treatment teams, with each entry linked to an ENCOUNTER_ID."
VISIT_REASONS,This table holds fundamental details for entries in the REASON_FOR_VISIT (HRV) master file.
V_HOSPITAL_TRANSACTIONS,This view simplifies charge homing reporting by excluding non-home charges that have been re-homed and updating billing account IDs to reference the correct billing account record for reporting. It includes hospital account transaction detail information from the HTR master file.
V_PATIENT_ENCOUNTERS,"This view simplifies charge homing reporting by excluding non-home charges that have been re-homed and updating billing account IDs to reference the correct billing account record for reporting purposes. The patient encounter table includes one record for each patient encounter in the system, and by default, this view omits Registration and PCP/Clinic Change contacts (Encounter types 1, 31), while including all appointments, office visits, telephone encounters, and other encounter types. The primary key for the patient encounter view is ENCOUNTER_ID."
V_PATIENT_LOCATION_HISTORY,"A dimensional view designed to identify a patient's department, room, and/or bed at a specific datetime. It includes one row for each admission, transfer in, or leave of absence return ADT event, with columns for in and out times. By performing an equal join with this view on an inpatient ENC and a theta join on a specific instant, you can retrieve a single row containing the patient's department, room, and bed at that moment. This view has been validated using ADT data from the EMR system's ADT application, and using interfaces to capture ADT data may lead to unexpected results."
V_PHARMACY_DISPENSE,"The V_PHARMACY_DISPENSE view provides details regarding medication orders dispensed from inpatient pharmacies, with each row representing a single medication dispense."
V_PHARMACY_DISPENSE_ACTION,This view includes all actions related to the preparation and tracking of inpatient medication order dispenses.
V_PHARMACY_ORDER,"The V_PHARMACY_ORDER view provides details on medication orders that have been prepared or supplied by inpatient pharmacies, primarily for reporting purposes. Only orders that are signed and released or signed and held are included in this view."
CLINICAL_NOTE_TEXT,"The CLINICAL_NOTE_TEXT table stores the free-text body of clinical notes, one row per note text segment, linked to note metadata by note ID."
DIAGNOSES_CURRENT_ICD10,"The DIAGNOSES_CURRENT_ICD10 table maps internal diagnosis records to their current ICD-10 codes, one row per diagnosis-to-code mapping."
HOSPITAL_ACCT_PX_LIST,"The HOSPITAL_ACCT_PX_LIST table lists the procedures coded on a hospital account, one row per account-procedure entry, including the final coded procedure."
ICD_PROCEDURE_CODES,"The ICD_PROCEDURE_CODES table is the reference list of ICD procedure codes, one row per procedure code record."
PATIENT_OR_ADM_LINK,"The PATIENT_OR_ADM_LINK table links patient encounters to operating room cases, one row per encounter-to-OR-log link."
V_LOG_BASED,"The V_LOG_BASED view reports operating room cases from the surgical log, one row per OR log, including in-room times."
