Name,Status,Definition,Acronym,Experts,Stewards,Parent Term Name,IsDefinitionRichText
Diabetic Codeset (reporting.USP_Diabetic_CodesetA),Draft,"2 definitions share the name 'Diabetic Codeset' — unresolved (misnomer flag open). The hand-maintained diabetic ICD code list (80 codes) and the patients it selects — the authoring team's copy.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Dr. Peterson,,false
Diabetic Patients (excl. gestational),Draft,"Diabetic patients excluding gestational diabetes codes — the chronic-condition reading of the same population.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,OBGyn,,false
Diabetic Patients (incl. gestational),Draft,"Diabetic patients counting gestational diabetes codes as qualifying — the inclusive obstetric reading.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,OBGyn,,false
Diabetic Patients,Draft,"Diabetic patients on a primary-care panel: the shared base cohort the panel-scoped variants extend.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Dr. Peterson,,false
Diabetic Patients (Diagnosis Codes),Draft,"Patients identified as diabetic through coded diagnoses: any E11-family (type 2 diabetes) ICD code on the diagnosis record.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetic Patients (Lab Criteria),Draft,"Patients identified as diabetic through laboratory evidence: a hemoglobin A1c result at or above 6.5 percent.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetic Patient Roster,Draft,"A flat roster of diabetic patients for outreach lists: identity fields only, one row per patient.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Enrollment Snapshot (reporting.USP_Enrollment_Snapshot),Draft,"2 definitions share the name 'Enrollment Snapshot' — unresolved. Point-in-time count of registry enrollment, produced by the reporting schema.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
High ED Utilizers Without PCP,Draft,"Patients with heavy emergency-department use and no assigned primary-care provider — unmanaged high utilizers.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,ED Medical Director,,false
High ED Utilizers (reporting.USP_High_ED_Utilizers),Draft,"2 definitions share the name 'High ED Utilizers' — unresolved (grain_shift flag open). High emergency-department utilizers counted as DISTINCT patients — how many people exceed the visit threshold.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,ED Medical Director,,false
Missed Appointments,Draft,"Appointments with a no-show status, counted at the appointment grain for schedule management.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Dr. Peterson,,false
Outreach Funnel (Diamond),Draft,"An outreach funnel whose branches split from one base and re-join — the diamond dependency shape.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetic Patients (ED Utilization),Draft,"Panel diabetic patients who also appear in emergency-department visits — care happening outside the panel.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Dr. Peterson,,false
Diabetic Patients (Missed PCP Appointments),Draft,"Panel diabetic patients who missed their primary-care appointments — the outreach-priority slice of the panel.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Dr. Peterson,,false
Panel Refresh (Multi-Statement),Draft,"A refresh procedure of several sequential statements; the final select defines its output.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Panel Rollup (Recursive),Draft,"A panel rollup built stepwise over its own prior stage — the self-referencing chain shape.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
PHI Literal Probe,Draft,"A deliberately planted patient-name literal, existing so the PHI scan proves it fires.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Pre-Op Abnormal Diabetes Labs,Draft,"Surgical candidates with abnormal diabetes labs before their operation date — the pre-op safety check.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Dr. Sullivan,,false
Reference Forms Probe,Draft,"A probe exercising every table-reference form the parser must chase: views, synonyms, temp projections, and qualified joins.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Active Diabetic Patients (reports.USP_Active_Diabetics),Draft,"2 definitions share the name 'Active Diabetic Patients' — unresolved (cousin_conflict flag open). Actively managed diabetic patients as published by the reports schema — same name as the reporting cut, independently maintained.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetic Codeset (reports.USP_Diabetic_CodesetB),Draft,"2 definitions share the name 'Diabetic Codeset' — unresolved (misnomer flag open). The hand-maintained diabetic ICD code list (81 codes) and the patients it selects — one code newer than the sibling copy.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Quality & Registry Team,,false
Enrollment Snapshot (reports.USP_Enrollment_Snapshot),Draft,"2 definitions share the name 'Enrollment Snapshot' — unresolved. Point-in-time count of registry enrollment, produced by the reports schema; whitespace-only variant of the reporting version.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
High ED Utilizers (reports.USP_High_ED_Utilizers),Draft,"2 definitions share the name 'High ED Utilizers' — unresolved (cousin_conflict flag open). High emergency-department utilization counted at the visit level — how many qualifying visits occur, same name as the patient-grain cut.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Finance Analyst,,false
No-Show Panel,Draft,"Patients who missed appointments, one row per patient — the panel view of the same no-show activity.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,ED Medical Director,,false
