description,name,nodeId,contentHash,grain,loadedAt
The DIAGNOSES table holds fundamental details regarding diagnoses.,DIAGNOSES,emr|dbo|DIAGNOSES,5b24316527b15e87,,2026-09-06T00:00:00Z
"The DIAGNOSES_CURRENT_ICD10 table maps internal diagnosis records to their current ICD-10 codes, one row per diagnosis-to-code mapping.",DIAGNOSES_CURRENT_ICD10,emr|dbo|DIAGNOSES_CURRENT_ICD10,58bdc99d8a8542d8,,2026-09-06T00:00:00Z
"ED_ENCOUNTERS_DM is a data mart table that holds essential information regarding a patient's stay in the emergency department (ED). It combines date and time columns for calculating turnaround times, and data is populated only when the ED Encounters registry (R HFR 49003) is activated, capturing only those patient encounters that meet the registry's inclusion criteria. Important Note: This table includes a special staging override code that is applicable only for incremental extracts; a full extract should not be performed as it will erase historical data from the table, potentially permanently.",ED_ENCOUNTERS_DM,emr|dbo|ED_ENCOUNTERS_DM,7d36bbeda05e8764,,2026-09-06T00:00:00Z
"The ED_ENCOUNTERS_FACT table contains frequently utilized data for emergency department encounters, with each encounter represented by a single row. Encounters that are either pending or cancelled are excluded from this table.",ED_ENCOUNTERS_FACT,emr|dbo|ED_ENCOUNTERS_FACT,ce5c0745bf37dba3,,2026-09-06T00:00:00Z
This table holds data regarding the current event records.,ED_EVENT_INFO,emr|dbo|ED_EVENT_INFO,571611c590837a57,,2026-09-06T00:00:00Z
"This table holds the noadd single items, including NAME, ID, and RECORD_STATE, associated with a specific EVENT_TEMPLATE.",ED_EVENT_TEMPLATES,emr|dbo|ED_EVENT_TEMPLATES,2fb6a1c7e1101539,,2026-09-06T00:00:00Z
"This table holds data that aids in associating records (such as PATIENT, DEPARTMENT, etc.) with their corresponding events.",ED_PATIENT_INFO,emr|dbo|ED_PATIENT_INFO,5b13a80f8f136620,,2026-09-06T00:00:00Z
This table holds summary information regarding user records from the User master file.,EMPLOYEES,emr|dbo|EMPLOYEES,8bc685e423d3e363,,2026-09-06T00:00:00Z
The PATIENT_ENCOUNTER_DIAGNOSIS table includes a record for every diagnosis linked to each encounter level of service. It encompasses all diagnoses listed on the ORDER_SUMMARY screen.,ENCOUNTER_DIAGNOSES,emr|dbo|ENCOUNTER_DIAGNOSES,13d275122f19e344,,2026-09-06T00:00:00Z
"The ENCOUNTER_VISIT_REASONS table holds the reasons for visit recorded during a clinical system encounter. Each row represents a single reason for visit linked to a patient encounter, with the LINE item distinguishing multiple reasons for a single encounter.",ENCOUNTER_VISIT_REASONS,emr|dbo|ENCOUNTER_VISIT_REASONS,f1a9cc9792968d11,,2026-09-06T00:00:00Z
This table holds measurements specific to patients that are recorded in flowsheets.,FLOWSHEET_MEASUREMENTS,emr|dbo|FLOWSHEET_MEASUREMENTS,ac18425deacec02d,,2026-09-06T00:00:00Z
This table holds linking details related to flowsheet records.,FLOWSHEET_RECORDS,emr|dbo|FLOWSHEET_RECORDS,c8e3f36655cac771,,2026-09-06T00:00:00Z
Holds the aggregated records for a grouper.,GROUPER_COMPILED_LIST,emr|dbo|GROUPER_COMPILED_LIST,2d83afab20c1448f,,2026-09-06T00:00:00Z
This table holds the records of groupers that are part of a specific grouper record.,GROUPER_GROUPS,emr|dbo|GROUPER_GROUPS,775e4b86e69f76ad,,2026-09-06T00:00:00Z
"This table holds a compiled list of medication records within a grouper, which may include entries directly in the grouper or those expanded from basic generic medications, pharmaceutical class, pharmaceutical subclass, AHFS code, RxNorm code, or ATC code, possibly restricted by route. This view is intended solely to maintain compatibility with old queries following changes to the grouper's data model, and new queries should utilize GROUPER_COMPILED_LIST instead.",GROUPER_MED_RECORDS,emr|dbo|GROUPER_MED_RECORDS,2d499e76c347c1f8,,2026-09-06T00:00:00Z
Holds the terminology codes for groupers of the Terminology type.,GROUPER_TERMINOLOGY,emr|dbo|GROUPER_TERMINOLOGY,21847f95cf5b7634,,2026-09-06T00:00:00Z
This table holds hospital account details sourced from the HOSPITAL_ACCOUNT and CLAIM (CLM) master files. It does not include professional billing hospital accounts generated by visit filing order in non-single billing office service areas.,HOSPITAL_ACCOUNTS,emr|dbo|HOSPITAL_ACCOUNTS,432acdc51d9e73ca,,2026-09-06T00:00:00Z
"This table holds hospital account data from the Hospital Accounts Receivable master file. It is the fifth hospital account table, maintaining the same basic structure as HOSPITAL_ACCOUNTS, HOSPITAL_ACCOUNT_2, HOSPITAL_ACCOUNT_3, and HOSPITAL_ACCOUNT_4, and was established to avoid increasing the size of the other tables. It does not include Professional Billing accounts in traditional PB self-pay service areas.",HOSPITAL_ACCOUNTS_EXT,emr|dbo|HOSPITAL_ACCOUNTS_EXT,5677af18e6ac4a9e,,2026-09-06T00:00:00Z
"This table holds information regarding the final diagnosis list for hospital accounts, sourced from the Hospital Accounts Receivable master file.",HOSPITAL_ACCT_DIAGNOSES,emr|dbo|HOSPITAL_ACCT_DIAGNOSES,6673e21e29a498d3,,2026-09-06T00:00:00Z
"The HOSPITAL_ACCT_PX_LIST table lists the procedures coded on a hospital account, one row per account-procedure entry, including the final coded procedure.",HOSPITAL_ACCT_PX_LIST,emr|dbo|HOSPITAL_ACCT_PX_LIST,a19a73e8625968d3,,2026-09-06T00:00:00Z
"This table contains the main information regarding hospital encounters. A hospital encounter refers to a contact in the patient record generated through an ADT workflow, including preadmission, admission, ED Arrival, discharge, and hospital outpatient visit (HOV) contacts, all of which have the ADT flag set to 1; other contact types are not included in this table.",HOSPITAL_ENCOUNTERS,emr|dbo|HOSPITAL_ENCOUNTERS,45221017d7d1316e,,2026-09-06T00:00:00Z
This table holds transaction details related to hospital accounts sourced from the Hospital Permanent Transactions (HTR) master file.,HOSPITAL_TRANSACTIONS,emr|dbo|HOSPITAL_TRANSACTIONS,a910793ebf57c71e,,2026-09-06T00:00:00Z
"The ICD_PROCEDURE_CODES table is the reference list of ICD procedure codes, one row per procedure code record.",ICD_PROCEDURE_CODES,emr|dbo|ICD_PROCEDURE_CODES,43a9fc882f46e87d,,2026-09-06T00:00:00Z
"The ICU_STAY_SUMMARY table summarizes intensive care unit stays, one row per ICU stay with the patient, encounter, and stay start and end dates. Successor to the deprecated legacy ICU stay view.",ICU_STAY_SUMMARY,emr|dbo|ICU_STAY_SUMMARY,89107fbd36255f64,,2026-09-06T00:00:00Z
"The LAB_COMPONENTS table holds fundamental details about the standard result components that may be part of your procedures. For instance, the components of a lab panel typically include the tests conducted on a single specimen.",LAB_COMPONENTS,emr|dbo|LAB_COMPONENTS,9bada3d43d98a8ad,,2026-09-06T00:00:00Z
This table holds data regarding the outcomes of clinical system orders. It retrieves only the most recent Orders contact for each order record.,LAB_ORDER_RESULTS,emr|dbo|LAB_ORDER_RESULTS,effaecc001827507,,2026-09-06T00:00:00Z
"This table contains information about devices associated with a patient. A record is generated in DEVICE for each line, drain, airway, or wound related to a patient, along with entries for the patient's travel history. The no-add information for this device is also stored in the table.",LINE_DEVICE_AIRWAY,emr|dbo|LINE_DEVICE_AIRWAY,b0b17cd7e8155228,,2026-09-06T00:00:00Z
"This table holds data regarding location records, which encompass revenue locations and the primary clinics/locations of patients. The entries in this table are Facility Profile (EAF) records classified as facility, service area, and location records, specifically where Type of Location (I EAF 27) has a value of 1, 2, or 4.",LOCATIONS,emr|dbo|LOCATIONS,7f7fe9aeb08b7a68,,2026-09-06T00:00:00Z
The MEDICATIONS table holds comprehensive details about all medications available for use in your facility.,MEDICATIONS,emr|dbo|MEDICATIONS,94f667e6c95a2ad0,,2026-09-06T00:00:00Z
The MEDICATION_ORDERS table allows for reporting on medications prescribed within the clinical system. It also contains patient and contact identification details for each entry.,MEDICATION_ORDERS,emr|dbo|MEDICATION_ORDERS,e5c773fa7799c714,,2026-09-06T00:00:00Z
This table allows for reporting on medications prescribed in the clinical system or Ambulatory Pharmacy (Prescriptions). It is intended to be used in conjunction with MEDICATION_ORDERS.,MEDICATION_ORDERS_EXT,emr|dbo|MEDICATION_ORDERS_EXT,ec1ead814bd592ab,,2026-09-06T00:00:00Z
"This table holds the active medication administration data, encompassing all scheduled and completed administrations that are currently displayed on the MAR.",MED_ADMIN_RECORDS,emr|dbo|MED_ADMIN_RECORDS,fdd57e2f40ce8b23,,2026-09-06T00:00:00Z
This table holds information about medications.,MED_DETAILS_EXT,emr|dbo|MED_DETAILS_EXT,4554ce9fffaf92d3,,2026-09-06T00:00:00Z
This table includes the components that make up medication mixtures.,MED_MIX_COMPONENTS,emr|dbo|MED_MIX_COMPONENTS,06689873bf3b6355,,2026-09-06T00:00:00Z
"This table holds data from overtime single-response items related to General Use Notes records. The logic for creating contacts for clinical notes is: 1. A new note is created if none exists, indicating the first contact for that note. 2. A new contact is generated on the note being revised if a revision is submitted by the incoming transcription interface, irrespective of the note's status.",NOTE_ENCOUNTER_INFO,emr|dbo|NOTE_ENCOUNTER_INFO,caa8a33180a0f691,,2026-09-06T00:00:00Z
This table contains the SmartList IDs associated with the notes.,NOTE_TEMPLATE_LIST_IDS,emr|dbo|NOTE_TEMPLATE_LIST_IDS,73c09ae2f020cdd1,,2026-09-06T00:00:00Z
This table contains the SmartText IDs associated with the notes.,NOTE_TEMPLATE_TEXT_IDS,emr|dbo|NOTE_TEMPLATE_TEXT_IDS,7531880b2bf2a07c,,2026-09-06T00:00:00Z
This table holds information regarding the dispensing of orders.,ORDER_DISPENSE_INFO,emr|dbo|ORDER_DISPENSE_INFO,8916556365d0a33b,,2026-09-06T00:00:00Z
"This table is intended to gather information needed to analyze the placement of orders within the system. It provides insights into the percentage of orders placed by the same provider and user, as well as details on the types of orders, including whether they were modified or reordered. Included orders are parent orders that are not pended, not created from an interface, not generated by an Instant Order OurPractice Advisory action, not cabinet overrides, not historical orders, not bulk dispense orders, not created by referral, not external, and either have a procedure associated or lack an appointment request system status.",ORDER_TRACKING_METRICS,emr|dbo|ORDER_TRACKING_METRICS,128b6295ffb98fbb,,2026-09-06T00:00:00Z
The ORGANISMS table holds fundamental details regarding the organisms utilized in clinical systems.,ORGANISMS,emr|dbo|ORGANISMS,39e6150d134386f3,,2026-09-06T00:00:00Z
"The PATIENTS table holds a single record for every patient in the system. Each record includes demographic details, primary care provider and primary location information, registration data, and additional information.",PATIENTS,emr|dbo|PATIENTS,75300d696c255b18,,2026-09-06T00:00:00Z
This table holds data regarding a patient's race.,PATIENT_DEMOGRAPHICS_RACE,emr|dbo|PATIENT_DEMOGRAPHICS_RACE,4eb09efe8c6cfc8c,,2026-09-06T00:00:00Z
"The PATIENT_ENCOUNTER table holds a single record for each patient encounter in the system. By default, it excludes Registration and PCP/Clinic Change contacts (encounter types 1 and 31) but includes all appointments, office visits, telephone encounters, and other encounter types. The primary key for the PATIENT_ENCOUNTER table is ENCOUNTER_ID. Additionally, there is an index named EIX_FILT_PATIENT_ENC_RFL on the REFERRAL_ID column in Oracle, which is not listed among the indexes; this index is created by EFN_FAUX_RFL_FILT_INX.",PATIENT_ENCOUNTERS,emr|dbo|PATIENT_ENCOUNTERS,4a25c2a7ddcc7477,,2026-09-06T00:00:00Z
"The PATIENT_OR_ADM_LINK table links patient encounters to operating room cases, one row per encounter-to-OR-log link.",PATIENT_OR_ADM_LINK,emr|dbo|PATIENT_OR_ADM_LINK,93183fe4234671bf,,2026-09-06T00:00:00Z
"The PROCEDURES_CATALOG table holds fundamental details regarding the procedure records within the system, encompassing both A/R and clinical procedures.",PROCEDURES_CATALOG,emr|dbo|PROCEDURES_CATALOG,4f6c57cfb1072c99,,2026-09-06T00:00:00Z
"The PROCEDURE_ORDERS table allows for reporting on the procedures requested within the clinical system, and it includes patient and contact identification details for each entry.",PROCEDURE_ORDERS,emr|dbo|PROCEDURE_ORDERS,8a4549334dbfa09b,,2026-09-06T00:00:00Z
The PROCEDURE_ORDERS_EXT table allows for reporting on procedures ordered within the clinical system. It shares a similar structure with PROCEDURE_ORDERS and was established as a third table to avoid increasing the size of ORDER_PROC_2.,PROCEDURE_ORDERS_EXT,emr|dbo|PROCEDURE_ORDERS_EXT,b0448577a44b04ff,,2026-09-06T00:00:00Z
"The PROVIDERS table holds essential details regarding your provider records, which can include caregivers, resources, classes, devices, and modalities.",PROVIDERS,emr|dbo|PROVIDERS,cde84f3c395c8097,,2026-09-06T00:00:00Z
This table holds the values representing the actions that a user can perform in response to alerts.,REF_ALERT_ACTIONS,emr|dbo|REF_ALERT_ACTIONS,2a2d1437e5042899,,2026-09-06T00:00:00Z
No value is present.,REF_ALERT_OVERRIDE_REASONS,emr|dbo|REF_ALERT_OVERRIDE_REASONS,2fa52c5c631abe55,,2026-09-06T00:00:00Z
"This table contains the categories for alert status. The alert status describes the outcome of an interaction alert after it has been viewed by an end user, with possible statuses including OVERRIDDEN, REMOVED, FILTERED, or CANCELLED.",REF_ALERT_STATUS,emr|dbo|REF_ALERT_STATUS,18be872c48f2cfea,,2026-09-06T00:00:00Z
No value is present.,REF_DISCHARGE_DISPOSITION,emr|dbo|REF_DISCHARGE_DISPOSITION,2fa52c5c631abe55,,2026-09-06T00:00:00Z
No value is present.,REF_ED_DISPOSITION,emr|dbo|REF_ED_DISPOSITION,2fa52c5c631abe55,,2026-09-06T00:00:00Z
This table holds the category details for patient ethnic groups.,REF_ETHNIC_GROUP,emr|dbo|REF_ETHNIC_GROUP,4213b6dc3e29cf7e,,2026-09-06T00:00:00Z
No value is present.,REF_GENERIC_MED,emr|dbo|REF_GENERIC_MED,2fa52c5c631abe55,,2026-09-06T00:00:00Z
This table holds the category details for the patient classes associated with the hospital encounter.,REF_PATIENT_CLASS,emr|dbo|REF_PATIENT_CLASS,0f3cfa70798ebd1a,,2026-09-06T00:00:00Z
This table holds the category details related to patient race.,REF_PATIENT_RACE,emr|dbo|REF_PATIENT_RACE,6df01d5536218380,,2026-09-06T00:00:00Z
No value is present.,REF_SEX,emr|dbo|REF_SEX,2fa52c5c631abe55,,2026-09-06T00:00:00Z
This table contains the categories for the various locations where alerts may be displayed in the clinical application.,REF_SHOWN_PLACE,emr|dbo|REF_SHOWN_PLACE,2a858a08dc60b10b,,2026-09-06T00:00:00Z
This table records medication orders that are in the pharmacy verification queue.,RX_VERIFY_TRACE,emr|dbo|RX_VERIFY_TRACE,f9dbe07fd1c17ab7,,2026-09-06T00:00:00Z
"The TREATMENT_TEAMS table holds details about inpatient treatment teams, with each entry linked to an ENCOUNTER_ID.",TREATMENT_TEAMS,emr|dbo|TREATMENT_TEAMS,65b27d3fb795d89b,,2026-09-06T00:00:00Z
This table holds fundamental details for entries in the REASON_FOR_VISIT (HRV) master file.,VISIT_REASONS,emr|dbo|VISIT_REASONS,a837748ceca1cefb,,2026-09-06T00:00:00Z
This view simplifies charge homing reporting by excluding non-home charges that have been re-homed and updating billing account IDs to reference the correct billing account record for reporting. It includes hospital account transaction detail information from the HTR master file.,V_HOSPITAL_TRANSACTIONS,emr|dbo|V_HOSPITAL_TRANSACTIONS,d973dcae6a975ebc,,2026-09-06T00:00:00Z
"The V_OR_CASE_LOG view reports operating room cases from the surgical log, one row per OR case log, including in-room times.",V_OR_CASE_LOG,emr|dbo|V_OR_CASE_LOG,706170755cc2bbc3,,2026-09-06T00:00:00Z
"This view simplifies charge homing reporting by excluding non-home charges that have been re-homed and updating billing account IDs to reference the correct billing account record for reporting purposes. The patient encounter table includes one record for each patient encounter in the system, and by default, this view omits Registration and PCP/Clinic Change contacts (Encounter types 1, 31), while including all appointments, office visits, telephone encounters, and other encounter types. The primary key for the patient encounter view is ENCOUNTER_ID.",V_PATIENT_ENCOUNTERS,emr|dbo|V_PATIENT_ENCOUNTERS,f3a31179b4d8c13b,,2026-09-06T00:00:00Z
"A dimensional view designed to identify a patient's department, room, and/or bed at a specific datetime. It includes one row for each admission, transfer in, or leave of absence return ADT event, with columns for in and out times. By performing an equal join with this view on an inpatient ENC and a theta join on a specific instant, you can retrieve a single row containing the patient's department, room, and bed at that moment. This view has been validated using ADT data from the EMR system's ADT application, and using interfaces to capture ADT data may lead to unexpected results.",V_PATIENT_LOCATION_HISTORY,emr|dbo|V_PATIENT_LOCATION_HISTORY,864b751c5aa16621,,2026-09-06T00:00:00Z
"The V_PHARMACY_DISPENSE view provides details regarding medication orders dispensed from inpatient pharmacies, with each row representing a single medication dispense.",V_PHARMACY_DISPENSE,emr|dbo|V_PHARMACY_DISPENSE,0deafc7032391a89,,2026-09-06T00:00:00Z
This view includes all actions related to the preparation and tracking of inpatient medication order dispenses.,V_PHARMACY_DISPENSE_ACTION,emr|dbo|V_PHARMACY_DISPENSE_ACTION,e8a095c7fcdec7c4,,2026-09-06T00:00:00Z
"The V_PHARMACY_ORDER view provides details on medication orders that have been prepared or supplied by inpatient pharmacies, primarily for reporting purposes. Only orders that are signed and released or signed and held are included in this view.",V_PHARMACY_ORDER,emr|dbo|V_PHARMACY_ORDER,6c3328aaadaf73c5,,2026-09-06T00:00:00Z
"Staging table that holds inpatient sepsis screening results, encounter information, compliance metrics, and clinical observations for patients flagged for sepsis.",IP_SEPSIS,emr|reporting|IP_SEPSIS,58644b8a3de59af3,,2026-09-06T00:00:00Z
"Comprehensive clinical information for sepsis cases, encompassing vital signs, laboratory results, medication administration timestamps, and organ dysfunction assessments.",IP_SepsisDetails,emr|reporting|IP_SepsisDetails,4d90d74008b32434,,2026-09-06T00:00:00Z
"Records of inpatient sepsis encounters that include demographic information, admission and discharge timestamps, and diagnosis codes.",IP_SepsisEncounters,emr|reporting|IP_SepsisEncounters,9b32de5a18c85aa1,,2026-09-06T00:00:00Z
"Records of sepsis encounters that include ADT location history, detailing department transfers and their corresponding timestamps throughout the encounter.",IP_SepsisEncountersWLocations,emr|reporting|IP_SepsisEncountersWLocations,2c336ccebf0243a6,,2026-09-06T00:00:00Z
A date-indexed view of sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.,IP_SepsisPatientDates,emr|reporting|IP_SepsisPatientDates,bc9c55312688c5ef,,2026-09-06T00:00:00Z
"Records of sepsis screening activities, which encompass organ dysfunction scores, huddle documentation, alert responses, and nursing assessments.",IP_SepsisScreeningAudit,emr|reporting|IP_SepsisScreeningAudit,edcefa73bc67785f,,2026-09-06T00:00:00Z
"Data on sepsis screening compliance at the shift level, including breakdowns by AM/PM shifts, compliance rates, and the nursing staff responsible for the screenings.",IP_SepsisShiftCompliance,emr|reporting|IP_SepsisShiftCompliance,ae0b3fba2c6e3fff,,2026-09-06T00:00:00Z
"This table serves as a configuration lookup, holding value sets utilized for department rollups, location groupings, and various reporting categories.",CONFIG_VALUE_SET,emr|reports|CONFIG_VALUE_SET,094a0fb10959f36a,,2026-09-06T00:00:00Z
"Table containing fiscal year date information, including fiscal year number, month, and corresponding calendar date mappings for aligning reporting periods.",FY_DATE_DIMENSION,emr|reports|FY_DATE_DIMENSION,efd894686948ad89,,2026-09-06T00:00:00Z
ETL staging table for identifying non-severe sepsis cases. Contains records of patients suspected of having sepsis but not qualifying for severe sepsis criteria.,NON_SEVERE_SEPSIS_STAGING,emr|reports|NON_SEVERE_SEPSIS_STAGING,1a191803193df860,,2026-09-06T00:00:00Z
ETL staging table for identifying severe sepsis cases. Contains records of patients who meet the criteria for severe sepsis along with tracking for compliance with bundle elements.,SEVERE_SEPSIS_STAGING,emr|reports|SEVERE_SEPSIS_STAGING,6235729254492528,,2026-09-06T00:00:00Z
